name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Lalia 10 sachets de Lait en poudre - 20g,630 FCFA,https://www.jumia.sn/lalia-10-sachets-de-lait-en-poudre-20g-8848020.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/08488/1.jpg?2326,True,640 FCFA,2%,4 out of 5,(36)
Madar Nettoyant Multi-Usage - Citron - 900ML,750 FCFA,https://www.jumia.sn/nettoyant-multi-usage-citron-900ml-madar-mpg30735.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/22788/1.jpg?7339,True,790 FCFA,5%,4.5 out of 5,(27)
Mini Jus Ananas Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-ananas-briquette-200-ml-9852754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/72589/1.jpg?3898,True,,,4.4 out of 5,(7)
Mirinda Pack de Mirinda Orange 33 CL - 1 Acheté 1 offert,2 500 FCFA,https://www.jumia.sn/mirinda-pack-de-mirinda-orange-33-cl-1-achete-1-offert-10018643.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/681001/1.jpg?2345,True,,,,
Mini Jus Orange Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-orange-briquette-200-ml-9852752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/72589/1.jpg?3884,True,,,4.4 out of 5,(7)
"Casamançaise Pack de 6 Bouteilles d'Eau Minérale - 1,5 Litres",1 420 FCFA,https://www.jumia.sn/casamancaise-pack-de-6-bouteilles-deau-minerale-15-litres-9276405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/46729/1.jpg?2138,True,,,4.5 out of 5,(35)
Seo Bouteilles d'eau Minérale - 4.5 Litres,390 FCFA,https://www.jumia.sn/seo-bouteilles-deau-minerale-4.5-litres-9372486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/42739/1.jpg?0396,True,500 FCFA,22%,,
Madar Lessive en Savon - 275G,185 FCFA,https://www.jumia.sn/madar-lessive-en-savon-275g-8872396.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/32788/1.jpg?8769,True,,,3.4 out of 5,(15)
Mini Jus Pomme Briquette 200 ML,180 FCFA,https://www.jumia.sn/pressea-mini-jus-pomme-briquette-200-ml-9852755.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/72589/1.jpg?3905,True,200 FCFA,10%,5 out of 5,(1)
Everyday Farine De Blé 1KG,580 FCFA,https://www.jumia.sn/everyday-farine-de-ble-1kg-9989404.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/49899/1.jpg?8947,True,790 FCFA,27%,,
Prince Biscuits Goût Chocolat,320 FCFA,https://www.jumia.sn/prince-biscuits-gout-chocolat-9774310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/34779/1.jpg?8821,True,,,,
Candia Lait Demi-Ecrémé GrandLait - 1 Litre,950 FCFA,https://www.jumia.sn/lait-demi-ecreme-grandlait-1-litre-candia-mpg30704.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/84539/1.jpg?8453,True,1 050 FCFA,10%,4.5 out of 5,(61)
Cap Africa Pâte De Thon 160g,440 FCFA,https://www.jumia.sn/cap-africa-pate-de-thon-160g-9757150.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/17579/1.jpg?4946,True,,,4 out of 5,(12)
Prince Biscuits Au Chocolat,90 FCFA,https://www.jumia.sn/prince-biscuits-au-chocolat-9774308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/34779/1.jpg?2165,True,,,3.2 out of 5,(6)
Bocal De Moutarde Pimentée - 370G,520 FCFA,https://www.jumia.sn/reine-bocal-de-moutarde-pimentee-370g-9355106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/15539/1.jpg?3174,True,530 FCFA,2%,4.5 out of 5,(2)
Nescafe Boite 50g,770 FCFA,https://www.jumia.sn/boite-50g-nescafe-mpg37032.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/72189/1.jpg?7277,True,,,5 out of 5,(2)
